pemain,sutradara,judul_sinetron
Ana Pinem,Leo Sutanto,Diva (sinetron)
Rico Tampatty,Leo Sutanto,Diva (sinetron)
Connie Sutedja,Leo Sutanto,Diva (sinetron)
Lidya Kandou,Leo Sutanto,Diva (sinetron)
Cut Memey,Leo Sutanto,Mister Olga (sinetron)
Nikita Willy,Leo Sutanto,Mister Olga (sinetron)
Olga Syahputra,Leo Sutanto,Mister Olga (sinetron)
Jaja Mihardja,Leo Sutanto,Mister Olga (sinetron)
Meriam Bellina,Manoj Punjabi,Ali James Bon
Shireen Sungkar,Manoj Punjabi,Ali James Bon
Ibnu Jamil,Manoj Punjabi,Ali James Bon
Desy Ratnasari,Manoj Punjabi,Ali James Bon
Zainal Abidin Domba,Manoj Punjabi,Ali James Bon
Fanny Bauty,Manoj Punjabi,Ali James Bon
Amanda William,Manoj Punjabi,Ali James Bon
Cut Meyriska,Leo Sutanto,Tendangan Dari Langit The Series
Jessica Mila,Leo Sutanto,Tendangan Dari Langit The Series
Ray Prasetya,Leo Sutanto,Tendangan Dari Langit The Series
Dude Harlino,Leo Sutanto,Jodohku (sinetron)
Rionaldo Stockhorst,Leo Sutanto,Jodohku (sinetron)
Naysila Mirdad,Leo Sutanto,Jodohku (sinetron)
Nasya Marcella,Leo Sutanto,Akibat Pernikahan Dini
Neneng Rosediana,Leo Sutanto,Akibat Pernikahan Dini
Stefan William,Leo Sutanto,Akibat Pernikahan Dini
Cut Memey,Leo Sutanto,Alhamdulillah (sinetron)
Cut Keke,Leo Sutanto,Alhamdulillah (sinetron)
Asmirandah,Leo Sutanto,Alhamdulillah (sinetron)
Raya Kohandi,Leo Sutanto,Alhamdulillah (sinetron)
Jonas Rivanno,Leo Sutanto,Alhamdulillah (sinetron)
Fachri Muhammad,Leo Sutanto,Alhamdulillah (sinetron)
Julie Estelle,Leo Sutanto,Aprilio dan Julie
Kevin Aprilio,Leo Sutanto,Aprilio dan Julie
Ketrin Agustine,Leo Sutanto,Aprilio dan Julie
Ana Octarina,Leo Sutanto,Aprilio dan Julie
Danita Vinarosa Sigarlaki,Leo Sutanto,Aprilio dan Julie
Elma Agustin,Leo Sutanto,Aprilio dan Julie
Rachel Octavia,Leo Sutanto,Aprilio dan Julie
Patricia Devina,Leo Sutanto,Aprilio dan Julie
Titi Kamal,Manoj Punjabi,Lara (sinetron)
Marcel Chandrawinata,Manoj Punjabi,Lara (sinetron)
Rama Michael,Manoj Punjabi,Lara (sinetron)
Dinda Kanya Dewi,Manoj Punjabi,Lara (sinetron)
Febby Lawrence,Manoj Punjabi,Lara (sinetron)
Luna Maya,Manoj Punjabi,Tendangan Si Madun Musim 3
Kinaryosih,Manoj Punjabi,Tendangan Si Madun Musim 3
Adam Jordan,Manoj Punjabi,Tendangan Si Madun Musim 3
Donita,Manoj Punjabi,Tendangan Si Madun Musim 3
Asrul Dahlan,Manoj Punjabi,Tendangan Si Madun Musim 3
Marsha Aruan,Manoj Punjabi,Tendangan Si Madun Musim 3
Gritte Agatha,Manoj Punjabi,Tendangan Si Madun Musim 3
Yusuf Mahardika,Manoj Punjabi,Tendangan Si Madun Musim 3
